SOURCE68779,,,136614:MSCI:IND,136614:MSCI:IND,136614:MSCI:IND,135768:MSCI:IND,135768:MSCI:IND,135768:MSCI:IND,127302:MSCI:IND,127302:MSCI:IND,127302:MSCI:IND,127301:MSCI:IND,127301:MSCI:IND,127301:MSCI:IND,129856:MSCI:IND,129856:MSCI:IND,129856:MSCI:IND,106062:MSCI:IND,106062:MSCI:IND,106062:MSCI:IND,106063:MSCI:IND,106063:MSCI:IND,106063:MSCI:IND,JN43:XJSE:IND,JN43:XJSE:IND,JN43:XJSE:IND,JN43:XJSE:IND,971000:MSCI:IND,971000:MSCI:IND,971000:MSCI:IND,SAVI:XJSE:IND,SAVI:XJSE:IND,SAVI:XJSE:IND,SAVI:XJSE:IND,J331:XJSE:IND,J331:XJSE:IND,J331:XJSE:IND,J331:XJSE:IND,J330:XJSE:IND,J330:XJSE:IND,J330:XJSE:IND,J330:XJSE:IND,J203:XJSE:IND,J203:XJSE:IND,J203:XJSE:IND,J203:XJSE:IND,891800:MSCI:IND,891800:MSCI:IND,891800:MSCI:IND,127300:MSCI:IND,127300:MSCI:IND,127300:MSCI:IND,892400:MSCI:IND,892400:MSCI:IND,892400:MSCI:IND
,,,Close,Annualised Volatility Close,Volume,Close,Annualised Volatility Close,Volume,Close,Annualised Volatility Close,Volume,Close,Annualised Volatility Close,Volume,Close,Annualised Volatility Close,Volume,Close,Annualised Volatility Close,Volume,Close,Annualised Volatility Close,Volume,Close,Annualised Volatility Close,Volume,TRI,Close,Annualised Volatility Close,Volume,Close,Annualised Volatility Close,Volume,TRI,Close,Annualised Volatility Close,Volume,TRI,Close,Annualised Volatility Close,Volume,TRI,Close,Annualised Volatility Close,Volume,TRI,Close,Annualised Volatility Close,Volume,Close,Annualised Volatility Close,Volume,Close,Annualised Volatility Close,Volume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fm (Frontier Markets) (Close),Fm (Frontier Markets) (Annualised Volatility Close),Fm (Frontier Markets) (Volume),Em/Reits (Close),Em/Reits (Annualised Volatility Close),Em/Reits (Volume),Bric Growth (Close),Bric Growth (Annualised Volatility Close),Bric Growth (Volume),Bric Value (Close),Bric Value (Annualised Volatility Close),Bric Value (Volume),Em Equal Weighted (Close),Em Equal Weighted (Annualised Volatility Close),Em Equal Weighted (Volume),Em (Emerging Markets) Growth (Close),Em (Emerging Markets) Growth (Annualised Volatility Close),Em (Emerging Markets) Growth (Volume),Em (Emerging Markets) Value (Close),Em (Emerging Markets) Value (Annualised Volatility Close),Em (Emerging Markets) Value (Volume),Ftse/Jse Shareholder Weighted All Share Net (Close),Ftse/Jse Shareholder Weighted All Share Net (Annualised Volatility Close),Ftse/Jse Shareholder Weighted All Share Net (Volume),Ftse/Jse Shareholder Weighted All Share Net (TRI),South Africa (Close),South Africa (Annualised Volatility Close),South Africa (Volume),Sa Volatility Index (Close),Sa Volatility Index (Annualised Volatility Close),Sa Volatility Index (Volume),Sa Volatility Index (TRI),Ftse/Jse Growth (Close),Ftse/Jse Growth (Annualised Volatility Close),Ftse/Jse Growth (Volume),Ftse/Jse Growth (TRI),Ftse/Jse Value (Close),Ftse/Jse Value (Annualised Volatility Close),Ftse/Jse Value (Volume),Ftse/Jse Value (TRI),Ftse/Jse All Share (Close),Ftse/Jse All Share (Annualised Volatility Close),Ftse/Jse All Share (Volume),Ftse/Jse All Share (TRI),Em (Emerging Markets) (Close),Em (Emerging Markets) (Annualised Volatility Close),Em (Emerging Markets) (Volume),Bric (Close),Bric (Annualised Volatility Close),Bric (Volume),Acwi (Close),Acwi (Annualised Volatility Close),Acwi (Volume)
1,,42771,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,,42770,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,,42769,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11521.02,15.6204,253714270,18151.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,596.99,14.5428,140897948,870.99,363.58,19.7331,141519699,620.49,52265.16,15.7726,210584038,7215.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,,42768,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11573.31,15.6239,387583256,18233.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,602.25,14.5311,190380967,878.66,366.66,19.7757,193875508,625.74,52719.58,15.7797,272675192,7277.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,,42767,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11646.33,15.8049,373971006,18348.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,606.98,14.612,162717077,885.56,368.86,19.9965,175479804,629.51,53104.12,15.9076,251862822,7330.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,,42766,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11567.34,15.8052,254620295,18224.33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,602.74,14.5965,151316102,879.38,367.53,20.006,138453730,627.23,52788.12,15.8988,216671177,7287.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7,,42765,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11554.82,15.8052,210868989,18204.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,601.49,14.5955,139423327,877.56,366.37,20.0048,139907742,625.25,52660.94,15.8975,204787814,7269.78,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
