DATE,WEMMERSHOEK_HEIGHT_m_,WEMMERSHOEK_STORAGE_Ml_,WEMMERSHOEK_Current_,WEMMERSHOEK_Last_Year_,STEENBRAS_LOWER_HEIGHT_m_,STEENBRAS_STORAGE__Ml_,STEENBRAS_LOWER_Current__,STEENBRAS_LOWER_Last_Year__,STEENBRAS_UPPER_HEIGHT_m_,STEENBRAS_UPPER_STORAGE_Ml_,STEENBRAS_UPPER_Current__,STEENBRAS_UPPERLast_Year__,VOËLVLEI_HEIGHT__m_,VOËLVLEI_STORAGE__Ml_,VOËLVLEI__Current__,VOËLVLEI_Last_Year_,HELY_HUTCHINSON_HEIGHT_m_,HELY_HUTCHINSON_STORAGE__Ml_,HELY_HUTCHINSON_Current__,HELY_HUTCHINSON_Last_Year_,WOODHEAD_HEIGHT,WOODHEAD_STORAGE_Ml_,WOODHEAD_Current_,WOODHEAD_Last_Year_,VICTORIA_HEIGHT,VICTORIA_STORAGE_Ml_,VICTORIA_Current_,VICTORIALast_Year_,ALEXANDRA_HEIGHT_m_,ALEXANDRA_STORAGE_Ml_,ALEXANDRA_Current_,ALEXANDRA_Last_Year_,DE_VILLIERS_HEIGHT_m_,DE_VILLIERS_STORAGE_Ml_,DE_VILLIERS_Current_,DE_VILLIERS_Last_Year_,KLEINPLAATS_HEIGHT__m_,KLEINPLAATS_STORAGE_Ml_,KLEINPLAATS_Current__,KLEINPLAATS_Last_Year__,LEWIS_GAY_HEIGHT__m_,LEWIS_GAY_STORAGE__Ml_,LEWIS_GAY_Current__,LEWIS_GAY_Last_Year__,THEEWATERSKLOOF_HEIGHT__m_,THEEWATERSKLOOF_STORAGE__Ml_,THEEWATERSKLOOF_Current,THEEWATERSKLOOF_Last_Year__,BERG_RIVER_HEIGHT__m_,BERG_RIVER_STORAGE__Ml_,BERG_RIVER_Current__,BERG_RIVER_Last_Year__,TOTAL_STORED___BIG_6_STORAGE,TOTAL_STORED___BIG_6_Current,TOTAL_STORED___BIG_6_Last_Year,LAND_en_ZEEZICHT_HEIGHT__m_,LAND_en_ZEEZICHT_STORAGE__Ml_,LAND_en_ZEEZICHT_Current__,LAND_en_ZEEZICHT_Last_Year__,TOTAL_STORED___BIG_5_STORAGE,TOTAL_STORED___BIG_5_Current,TOTAL_STORED___BIG_5_Last_Year,ObjectId
29-Jan-26,46.74,40996,69.90655481,75.48939363,18.79,19211,57.31718233,72.30360712,21.84,24014,75.59417005,94.84685365,14.27,113875,69.39577684,81.7550809,7.76,128.918,13.94241688,59.24645756,35.8,789.9,82.72070374,40.43355325,4.54,55.807,43.46339564,89.6635514,7.79,44.05,32.81485123,41.63873121,23.7,138.661,57.19323717,91.8009594,7.4,504.9,38.82054436,23.63524527,13,105.1,62.55952381,94.46428571,22.65,271411,56.52182062,81.32752172,32.24,81543,62.72055996,82.70902238,551050,61.34904439,81.36583313,6.6,389.784,82.40676533,87.27737844,,,,1
28-Jan-26,46.78,41091,70.06854921,75.9156947,18.82,19289,57.54990005,73.64620939,22.11,24634,77.54588095,95.57402336,14.3,114296,69.65233554,81.7550809,7.77,129.366,13.99086786,60.59129656,35.8,789.9,82.72070374,40.17174573,4.56,56.425,43.94470405,90.04672897,7.8,44.185,32.91541888,41.63873121,23.7,138.661,57.19323717,91.31878421,7.45,512.5,39.40489005,24.51945256,12.92,103.2,61.42857143,88.75,22.68,272502,56.7490233,81.51557307,32.36,82078,63.13206676,83.1012999,553890,61.66522493,81.62679341,6.6,389.784,82.40676533,90.77843552,,,,2
27-Jan-26,46.8,41139,70.15039902,76.21751586,18.93,19579,58.41513262,72.93015485,22.2,24842,78.20064847,96.1406491,14.34,114857,69.99421067,81.94094884,7.77,129.366,13.99086786,60.19471235,35.8,789.9,82.72070374,41.25039271,4.56,56.425,43.94470405,90.04672897,7.8,44.185,32.91541888,42.65334704,23.7,138.661,57.19323717,91.31878421,7.5,520.2,39.9969245,25.41903737,12.82,100.9,60.05952381,87.38095238,22.71,273596,56.97685073,81.79796246,32.46,82526,63.47665564,83.40896854,556539,61.96014121,81.86927271,6.68,395.079,83.52621564,90.77843552,,,,3
26-Jan-26,46.82,41186,70.23054362,76.43066639,18.97,19686,58.7343736,73.73869976,22.29,25050,78.855416,96.54987881,14.38,115419,70.33669521,82.12194156,7.77,129.366,13.99086786,60.721833,35.81,790.9,82.82542675,42.71651482,4.56,56.425,43.94470405,91.96495327,7.8,44.185,32.91541888,42.90737347,23.71,138.854,57.27284351,91.43922489,7.55,527.9,40.58895894,26.34168845,12.73,98.8,58.80952381,86.13095238,22.74,274693,57.20530292,81.98643031,32.56,82974,63.82124452,83.68587032,559008,62.23501789,82.1017322,6.67,394.487,83.40105708,90.77843552,,,,4
25-Jan-26,46.87,41304,70.43175772,76.81433736,19.06,19926,59.45042814,73.82820658,22.33,25143,79.14817263,96.54987881,14.52,117393,71.53965691,82.39251653,7.78,129.813,14.03921068,60.721833,35.81,790.9,82.82542675,43.06210074,4.57,56.734,44.18535826,91.96495327,7.81,44.319,33.01524159,43.41468139,23.71,138.854,57.27284351,91.43922489,7.59,534.1,41.065662,27.27971705,12.62,96.3,57.32142857,83.92857143,22.77,275793,57.43437987,82.17531467,32.67,83469.7,64.20252288,84.00123067,563028.7,62.68264714,82.32617585,6.66,393.896,83.27610994,90.77843552,,,,5
24-Jan-26,46.89,41352,70.51360753,77.15708342,19.15,20167,60.16946624,74.73819256,22.34,25166,79.22057481,95.41033148,14.52,117393,71.53965691,82.66431031,7.81,131.156,14.18445546,60.05920103,35.81,790.9,82.82542675,43.00973924,4.57,56.734,44.18535826,91.96495327,7.81,44.319,33.01524159,43.41468139,23.71,138.854,57.27284351,90.84733319,7.63,540.4,41.55005382,28.23312317,12.53,94.3,56.13095238,82.20238095,22.8,276896,57.66408157,82.36440727,32.75,83831,64.48042458,84.30889932,564805,62.88040471,82.53748242,6.66,393.896,83.27610994,90.77843552,,,,6
23-Jan-26,46.92,41423,70.63467703,77.50323989,19.23,20384,60.81689889,75.10218695,22.59,25753,81.06840432,96.1406491,14.52,117393,71.53965691,83.29808952,7.82,131.603,14.23279828,60.33011553,35.55,765.4,80.15499005,44.57011205,4.72,61.309,47.74844237,92.34813084,8.01,47.041,35.04298336,43.66870782,23.8,140.591,57.98930058,90.96241178,7.67,546.7,42.03444564,29.20959557,12.43,92.1,54.82142857,81.36904762,22.85,278741,58.04830608,82.64867094,32.85,84284,64.82885932,84.5396508,567978,63.23365853,82.90064472,6.64,392.713,83.02600423,90.77843552,,,,7
22-Jan-26,46.94,41471,70.71652684,77.76243094,18.8,19237,57.3947549,75.74066891,22.43,25376,79.88163818,95.24978752,14.59,118385,72.14418477,83.93430635,7.81,131.156,14.18445546,60.59129656,35.97,807.3,84.54288407,45.99434496,4.66,59.479,46.32320872,92.34813084,8,46.871,34.91634262,43.66870782,23.76,139.819,57.67087522,90.96241178,7.7,551.4,42.39581732,30.19375673,12.34,90.1,53.63095238,79.16666667,22.88,279852,58.27967379,82.9333511,32..96,84784,65.21344512,84.88577802,569105,63.35912877,83.2284037,6.64,392.713,83.02600423,90.77843552,,,,8
21-Jan-26,46.97,41542,70.83759634,78.02332719,19.15,20167,60.16946624,76.4686577,22.5,25542,80.40419303,95.6558693,14.62,118810,72.40318108,83.93430635,7.81,131.156,14.18445546,60.59129656,35.97,807.3,84.54288407,47.57566237,4.66,59.479,46.32320872,92.73208723,8,46.871,34.91634262,43.9219893,23.76,139.819,57.67087522,90.96241178,7.74,557.8,42.88789789,31.20867292,12.26,88.4,52.61904762,77.97619048,22.92,281338,58.58913592,83.21865603,33.04,85148.8,65.49403892,85.20113837,572547.8,63.74241974,83.48513339,6.64,392.713,83.02600423,90.77843552,,,,9
20-Jan-26,47,41615,70.96207626,78.28081304,19.22,20356,60.73335919,76.65363845,22.63,25846,81.36116095,96.30434098,14.63,118952,72.48971632,84.11651787,7.82,131.603,14.23279828,60.98301404,35.98,808.4,84.65807938,49.03131218,4.71,61.004,47.51090343,92.73208723,8,46.871,34.91634262,44.93660513,23.76,139.819,57.67087522,91.07749038,7.78,564.2,43.37997847,32.23127787,12.18,86.7,51.60714286,76.36904762,22.97,283203,58.97752547,83.40899814,33.12,85514.6,65.77540189,85.47034843,575486.6,64.0695998,83.70579178,6.66,393.896,83.27610994,90.90359408,,,,10
