Date Time Hour Beginning,RSA Contracted Forecast,RSA Contracted Demand,International Exports,International Imports,Thermal Generation,Nuclear Generation,Wind,PV,CSP,Other RE,Total RE,Wind Installed Capacity,PV Installed Capacity,CSP Installed Capacity,Other RE Installed Capacity,Total RE Installed Capacity,Installed Eskom Capacity,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF
2019/04/01 00:00,21100.944,21795.048,1220.728,919,19988,1845,746.888,0,0,12.89,759.778,2079.76,1474.19,500,21.78,4075.73,44104,5246,10828.725,766.4,11595
2019/04/01 01:00,20826.932,21498.383,1195.998,834,19670,1845,937.058,0,0,13.055,950.113,2079.76,1474.19,500,21.78,4075.73,44104,5246,10663.279,765,11428
2019/04/01 02:00,20765.577,21409.036,1183.745,765,19597,1845,982.304,0,0,13.462,995.766,2079.76,1474.19,500,21.78,4075.73,44104,5199.95,10504.001,765,11269
2019/04/01 03:00,21027.756,21469.758,1156.881,739,19675,1845,980.428,0,0,12.93,993.358,2079.76,1474.19,500,21.78,4075.73,44104,4939,10434.095,765,11199
2019/04/01 04:00,21928.437,22204.397,1212.353,926,19871,1845,1035.222,0,0,12.905,1048.127,2079.76,1474.19,500,21.78,4075.73,44104,4939,10433.393,765,11198
2019/04/01 05:00,23842.661,24042.427,1405.819,944,20638,1845,949.674,0,0,13.483,963.157,2079.76,1474.19,500,21.78,4075.73,44104,4939,10505.158,676.782,11181
2019/04/01 06:00,25555.014,25831.657,1498.781,955,21795,1845,840.881,8.17,0,13.206,862.257,2079.76,1474.19,500,21.78,4075.73,44104,4939,10148.26,500.662,10648
2019/04/01 07:00,26971.355,27235.188,1465.971,973,22560,1845,756.842,251.168,0,11.908,1019.918,2079.76,1474.19,500,21.78,4075.73,44104,4939,9918.23,434.706,10352
2019/04/01 08:00,28439.534,28543.905,1508.217,984,22921,1844,771.938,713.313,2.959,12.425,1500.635,2079.76,1474.19,500,21.78,4075.73,44104,5031.25,9799.594,292.525,10092
2019/04/01 09:00,28961.696,28906.902,1534.51,986,22775,1844,838.436,1005.105,143.626,12.335,1999.502,2079.76,1474.19,500,21.78,4075.73,44104,5554,9736.939,292.525,10029
2019/04/01 10:00,29195.399,29030.99,1549.061,986,22376,1845,878.543,1167.195,285.036,11.946,2342.72,2079.76,1474.19,500,21.78,4075.73,44104,5467,10493.933,292.525,10786
2019/04/01 11:00,29135.485,28963.769,1578.3,987,22387,1845,1002.292,1220.486,291.648,11.943,2526.369,2079.76,1474.19,500,21.78,4075.73,44104,5374,10620.292,295.675,10915
2019/04/01 12:00,29060.019,28798.594,1591.923,981,22451,1846,1012.344,1247.99,298.883,12.107,2571.324,2079.76,1474.19,500,21.78,4075.73,44104,4885.25,11048.079,309.325,11357
2019/04/01 13:00,29005.13,28680.543,1585.937,978,22389,1845,1000.454,1233.36,288.197,12.132,2534.143,2079.76,1474.19,500,21.78,4075.73,44104,4799,10866.37,388.658,11255
2019/04/01 14:00,29127.668,29004.061,1612.149,977,22716,1845,966.075,1160.349,294.966,12.401,2433.791,2079.76,1474.19,500,21.78,4075.73,44104,4943.6,10288.108,491.39,10779
2019/04/01 15:00,29344.142,29376.632,1624.592,984,23212.3,1844,994.967,1015.026,288.134,12.805,2310.932,2079.76,1474.19,500,21.78,4075.73,44104,5384,9029.397,483.085,9512
2019/04/01 16:00,29572.095,29616.661,1607.163,987,23942,1844,1087.136,689.891,292.042,13.322,2082.391,2079.76,1474.19,500,21.78,4075.73,44104,5384,8940.393,450.168,9390
2019/04/01 17:00,29919.717,30166.122,1611.087,1004,24109,1843,1207.124,253.106,309.426,12.196,1781.852,2079.76,1474.19,500,21.78,4075.73,44104,5095.4,9293.288,461.085,9754
2019/04/01 18:00,31163.553,31132.203,1559.301,983,23679,1843,1215.695,11.58,279.6,12.428,1519.303,2079.76,1474.19,500,21.78,4075.73,44104,4799,9620.363,432.526,10052
2019/04/01 19:00,30620.106,30110.633,1485.888,1000,23172.08,1844,1136.454,0,272.283,12.746,1421.483,2079.76,1474.19,500,21.78,4075.73,44104,4799,9923.108,364.555,10287
2019/04/01 20:00,28473.985,28321.745,1672.784,971,23385,1844,1124.696,0,245.571,12.208,1382.475,2079.76,1474.19,500,21.78,4075.73,44104,4799,9986.476,364.555,10351
2019/04/01 21:00,26272.816,26028.36,1516.066,946,22918,1845,1118.57,0,131.555,11.835,1261.96,2079.76,1474.19,500,21.78,4075.73,44104,4799,9793.553,386.344,10179
2019/04/01 22:00,24377.837,24176.678,1439.804,957,21867,1845,1059.355,0,28.667,12.386,1100.408,2079.76,1474.19,500,21.78,4075.73,44104,4799,9647.432,378.055,10025
2019/04/01 23:00,23006.497,22823.728,1336.631,953,20928,1846,910.096,0,1.8,12.562,924.458,2079.76,1474.19,500,21.78,4075.73,44104,4799,9656.855,358.055,10014
2019/04/02 00:00,22696.703,22065.913,1312.718,934,20248,1846,772.061,0,0,11.582,783.643,2079.76,1474.19,500,21.78,4075.73,44104,4799,9215.994,358.055,9574
2019/04/02 01:00,22372.413,21951.201,1291.087,938,20175,1846,745.489,0,0,12.312,757.801,2079.76,1474.19,500,21.78,4075.73,44104,4799,9088.018,358.055,9446
