date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,18.6,15.9,22.2,,,,21.3,,1014.4,
2020-01-02 00:00:00,19,17,21.4,,,,11.2,,1015.5,
2020-01-03 00:00:00,19,16.9,22.1,,,,9.3,,1016.4,
2020-01-04 00:00:00,18.9,16.6,21.7,,,,14.1,,1013,
2020-01-05 00:00:00,17.8,16.2,19.8,,,,19.4,,1013.2,
2020-01-06 00:00:00,18.2,15.3,21.7,,,,10.4,,1014.1,
2020-01-07 00:00:00,19.5,16.3,24.3,,,,32.3,,1009.4,
2020-01-08 00:00:00,19.3,17.4,21.4,,,,19,,1009.3,
2020-01-09 00:00:00,17.9,16.4,20.1,,,,20.9,,1016.7,
2020-01-10 00:00:00,19.6,15.7,24,,,,28,,1017.1,
2020-01-11 00:00:00,20.7,19,23,,,,12.1,,1014.7,
2020-01-12 00:00:00,20.5,18.1,24.1,,,,15.7,,1016.3,
2020-01-13 00:00:00,20.5,18,23.6,,,,24.1,,1014.2,
2020-01-14 00:00:00,21,18.7,24.6,,,,20.2,,1013.1,
2020-01-15 00:00:00,21.1,19.3,24,,,,22.3,,1012.8,
2020-01-16 00:00:00,21,19.4,23.5,,,,28.3,,1012.3,
2020-01-17 00:00:00,19.7,17.4,21.1,,,,21.5,,1014.1,
2020-01-18 00:00:00,16.8,15.1,18.1,,,,43.5,,1014,
2020-01-19 00:00:00,15.2,14.1,16.7,,,,47.5,,1013.6,
2020-01-20 00:00:00,16.2,14.1,18.2,,,,76.5,,1012.4,
2020-01-21 00:00:00,17.2,15.1,19.7,,,,70.8,,1012.3,
2020-01-22 00:00:00,17,15.9,18.6,,,,61.9,,1012.6,
2020-01-23 00:00:00,17.8,15.6,20.2,,,,69.3,,1012,
2020-01-24 00:00:00,18.9,16.1,23,,,,44.9,,1010.4,
2020-01-25 00:00:00,18.1,16.4,20.2,,,,24.7,,1011.1,
2020-01-26 00:00:00,16.1,13.7,18.6,,,,22.8,,1017.5,
2020-01-27 00:00:00,17.2,14.7,20.4,,,,9.7,,1023.2,
2020-01-28 00:00:00,18.4,15.6,21.3,,,,14.7,,1018.1,
2020-01-29 00:00:00,18.5,16.4,20.8,,,,17.4,,1017.7,
2020-01-30 00:00:00,18.7,15.3,22.3,,,,54.1,,1013.6,
2020-01-31 00:00:00,19.4,17,21.7,,,,17.1,,1014.7,
2020-02-01 00:00:00,18.7,16.2,21.6,,,,24.8,,1014.8,
2020-02-02 00:00:00,20.7,17.8,25.2,,,,23.5,,1014,
2020-02-03 00:00:00,20.5,18.7,23.3,,,,15.5,,1014.6,
2020-02-04 00:00:00,20.5,18.4,23.6,,,,17.1,,1010.8,
2020-02-05 00:00:00,18.5,17.1,20.5,,,,21.5,,1011.8,
2020-02-06 00:00:00,17.5,15.8,19.6,,,,22.6,,1017.5,
2020-02-07 00:00:00,17.6,15.2,20.5,,,,59,,1013.8,
2020-02-08 00:00:00,19.7,16.7,23.9,,,,39.7,,1012.9,
2020-02-09 00:00:00,19.4,17.5,22.2,,,,13.7,,1017.2,
2020-02-10 00:00:00,19.3,17.4,22.4,,,,18.5,,1018.4,
2020-02-11 00:00:00,19.7,17.2,23.3,,,,39.1,,1015,
2020-02-12 00:00:00,20.5,17.8,24.6,,,,32,,1011.2,
2020-02-13 00:00:00,19.2,15.5,21.9,,,,16.4,,1012.8,
2020-02-14 00:00:00,19.1,16.8,21.4,,,,11.3,,1013.7,
2020-02-15 00:00:00,19.6,16.6,24,,,,36,,1010.3,
2020-02-16 00:00:00,20,17.6,22.3,,,,34.7,,1008.8,
2020-02-17 00:00:00,18.9,16.9,22.3,,,,18.6,,1017,
2020-02-18 00:00:00,18.8,16.5,22,,,,58.2,,1015.2,
2020-02-19 00:00:00,20,17.3,24,,,,37.7,,1011.5,
2020-02-20 00:00:00,20,18.2,23.1,,,,8.5,,1014.6,
2020-02-21 00:00:00,19.8,17.2,23.1,,,,12.5,,1014.1,
2020-02-22 00:00:00,18.3,16.5,20,,,,19.3,,1015.9,
2020-02-23 00:00:00,17.5,15.7,20.4,,,,54.7,,1020.3,
2020-02-24 00:00:00,18.4,14.9,22.6,,,,58.2,,1016.9,
2020-02-25 00:00:00,21.3,16.5,27,,,,24.4,,1009.8,
2020-02-26 00:00:00,19.5,17.6,22.5,,,,9.7,,1012.3,
2020-02-27 00:00:00,17.5,15.7,19.8,,,,18.4,,1018.6,
2020-02-28 00:00:00,16.3,14.8,18.9,,,,67.7,,1021.2,
2020-02-29 00:00:00,17.4,13.8,21.3,,,,66.1,,1015.4,
2020-03-01 00:00:00,18.3,15.4,21.7,,,,43.2,,1011.9,
2020-03-02 00:00:00,18.4,15.9,22,,,,36.7,,1014.9,
2020-03-03 00:00:00,20.8,16.6,25.5,,,,27,,1013.7,
2020-03-04 00:00:00,19.9,18.1,22.1,,,,22.3,,1014.3,
2020-03-05 00:00:00,18.9,17.4,21.1,,,,23.2,,1018.3,
2020-03-06 00:00:00,22.9,18.5,27.9,,,,21.2,,1013.8,
2020-03-07 00:00:00,21,18.4,23.3,,,,13.4,,1014.5,
2020-03-08 00:00:00,18.1,16.3,19.8,,,,10.7,,1018.2,
2020-03-09 00:00:00,17,15.6,19.5,,,,26.9,,1017.6,
2020-03-10 00:00:00,16.9,15,19.4,,,,37.4,,1012.9,
2020-03-11 00:00:00,17.8,16.2,19.8,,,,57.4,,1010.2,
2020-03-12 00:00:00,17.9,16.2,20.4,,,,17.8,,1012.2,
2020-03-13 00:00:00,17.6,15.8,20,,,,17.2,,1013.8,
2020-03-14 00:00:00,17,14.7,19.4,,,,16.6,,1016.2,
2020-03-15 00:00:00,16.8,14.5,18.8,,,,21.5,,1020.5,
2020-03-16 00:00:00,16.8,13.9,20.7,,,,71,,1016.2,
2020-03-17 00:00:00,18.5,15.4,21.8,,,,20.8,,1010.3,
2020-03-18 00:00:00,18.7,17.1,21.5,,,,9.3,,1015.3,
2020-03-19 00:00:00,18.3,16.4,21,,,,9.7,,1015,
2020-03-20 00:00:00,17.5,15.9,19.3,,,,16.2,,1016.9,
2020-03-21 00:00:00,18.6,16.2,21.7,,,,10.4,,1018,
2020-03-22 00:00:00,18.4,16.1,21.5,,,,13.9,,1017.2,
2020-03-23 00:00:00,18.4,16.3,21.6,,,,13.3,,1018.5,
2020-03-24 00:00:00,18.7,16.3,22.5,,,,12.3,,1016.8,
2020-03-25 00:00:00,17.6,15.1,19.8,,,,17.8,,1013.6,
2020-03-26 00:00:00,15.5,13.5,17.9,,,,11.3,,1020.3,
2020-03-27 00:00:00,15.8,13,19.1,,,,30.8,,1018,
2020-03-28 00:00:00,17.5,15.1,20.5,,,,10.2,,1015.9,
2020-03-29 00:00:00,17.1,15.4,20.4,,,,10.2,,1018.9,
2020-03-30 00:00:00,16.7,14,20.1,,,,12.5,,1013.7,
2020-03-31 00:00:00,16.7,14.7,19.6,,,,11.7,,1016.8,
2020-04-01 00:00:00,16.3,13.9,19.2,,,,51.8,,1022.9,
2020-04-02 00:00:00,18.3,14.4,21.9,,,,48.9,,1017.6,
2020-04-03 00:00:00,20.7,18.5,23.7,,,,23.3,,1013.1,
2020-04-04 00:00:00,18.1,16.6,19.6,,,,17.3,,1012.1,
2020-04-05 00:00:00,15.8,14.4,17.2,,,,24.8,,1012.4,
2020-04-06 00:00:00,13.7,12.6,14.6,,,,26.6,,1014.6,
2020-04-07 00:00:00,14.2,12.2,17.3,,,,12.4,,1022.2,
2020-04-08 00:00:00,15,12.4,17.9,,,,44.3,,1019.9,
2020-04-09 00:00:00,18.2,14.9,22.8,,,,16.6,,1015.1,
2020-04-10 00:00:00,17.5,15.3,20.1,,,,16.4,,1016.6,
2020-04-11 00:00:00,16.7,15.6,17.7,,,,32.4,,1011.9,
2020-04-12 00:00:00,16.2,14.6,17.8,,,,31.9,,1013.2,
2020-04-13 00:00:00,15.4,13.8,17.5,,,,12.6,,1018.3,
2020-04-14 00:00:00,16.4,14.4,19.3,,,,10.7,,1020.9,
2020-04-15 00:00:00,16.1,14.7,18.2,,,,11.8,,1020.1,
2020-04-16 00:00:00,16.6,15.1,18.7,,,,12.7,,1019.3,
2020-04-17 00:00:00,16.9,14.9,20.1,,,,8.2,,1018.3,
2020-04-18 00:00:00,19.4,15.1,23.4,,,,16.9,,1015.8,
2020-04-19 00:00:00,19,15.1,20.9,,,,21.6,,1013.5,
